segnale,centroid_mean,centroid_std,spread_mean,spread_std,rolloff_mean,rolloff_std,slope_mean,slope_std,obsir_std_mean,obsir_std_std,flatness_mean,flatness_std,crest_mean,crest_std,skewness_mean,skewness_std,kurtosis_mean,kurtosis_std,entropy_mean,entropy_std,tpr_mean,tpr_std,n_peaks_mean,n_peaks_std,tonality_mean,tonality_std,flux_mean,flux_std,irregularity_mean,irregularity_std,zcr_mean,zcr_std
13_sin100,440.07,5.68434e-14,11.5327,7.93478e-05,445.31,5.68434e-14,7.18574,0.0110426,4.32532,0.00633878,0.103623,3.58217e-06,5.7879,0,-0.0121457,0.000284784,5.49633,0.00025329,0.103856,2.77556e-17,18.1263,3.35393e-05,425.483,31.4392,0.164091,2.50867e-06,2.59483e-06,1.34535e-06,28.7485,0,0.00916652,3.42417e-05
14_sin75_noise25,21095.1,149.425,15109.2,62.6969,39786.9,202.111,-0.14492,0.0715675,2.14135,0.0455623,0.779039,0.0023247,203.387,1.40417,0.115946,0.0155931,-1.2888,0.0121734,0.162268,0.000775025,12.7663,0.0876235,146.888,10.6526,0.0180738,0.000216045,1.31323,0.123676,4546.31,167.086,0.056536,0.00224984
15_sin50_noise50,22982.8,143.48,14378.1,66.8541,40479.5,205.714,-0.0828755,0.0749263,1.56813,0.0560475,0.8199,0.00346394,76.6095,0.838808,0.022425,0.0142866,-1.22483,0.0121802,0.421976,0.00437353,4.79517,0.141391,145.44,12.0095,0.0143739,0.000305722,2.55662,0.240377,2548.97,74.022,0.179465,0.00449023
16_sin25_noise75,23670.9,146.968,14039.5,64.463,40694.2,174.783,-0.0589481,0.0767665,0.979395,0.0582188,0.83717,0.00341729,26.3982,0.856433,0.00357759,0.0156252,-1.20491,0.0121925,0.831154,0.00776447,-2.63845,0.295908,146.905,11.5333,0.012865,0.000295221,3.83893,0.360865,2306.98,44.1791,0.454149,0.00545769
17_noise100,24005.6,147.525,13863.7,71.4195,40804.7,180.834,0.000227129,0.0648133,0.141248,0.0403918,0.845451,0.00379026,3.33428,0.221751,-0.00101034,0.0157502,-1.20064,0.0126163,0.949113,0.00122278,-6.55801,0.456201,145.362,11.4292,0.0121527,0.00032462,5.10837,0.48108,2283.03,40.4557,0.499729,0.00592763
18_sin_crescendo,440.161,0.808157,12.9203,11.6979,445.31,5.68434e-14,6.87858,2.29361,4.10244,0.257194,0.103045,0.00440033,5.82261,0.284706,0.353355,2.80477,14.2062,69.8086,0.104021,0.00105791,18.0786,0.286377,114.94,16.3482,0.16458,0.00373161,0.00357544,0.000333659,27.1347,2.4687,0.00916652,3.42417e-05
19_sin_diminuendo,440.131,0.51878,12.6137,8.75199,445.31,5.68434e-14,6.86957,2.36257,4.10497,0.252338,0.103061,0.004259,5.81753,0.237164,0.395049,3.09109,16.2977,83.0194,0.103987,0.000780918,18.0869,0.222508,115.216,16.165,0.164562,0.00357503,0.00357575,0.000333607,27.1528,2.48544,0.00916652,3.42417e-05
20_sin_crescdim,440.222,0.954535,14.001,14.5065,445.31,5.68434e-14,6.56217,3.26309,3.92902,0.259516,0.102474,0.0060693,5.85226,0.367758,0.760543,4.1381,25.0071,107.598,0.104151,0.00129862,18.0394,0.357517,102.983,17.8553,0.165059,0.00512187,0.00710143,0.000835155,27.6887,3.92329,0.00916652,3.42417e-05
21_noise_crescendo,23991.6,150.881,13844.4,65.232,40766.9,173.708,0.00117196,0.0769183,0.143992,0.0353494,0.845244,0.00400605,3.41006,0.254674,-0.000492241,0.0152969,-1.19774,0.0126819,0.949098,0.00114401,-6.58045,0.50187,145.603,12.2305,0.0121705,0.000342812,2.55207,1.46695,2285.6,43.0997,0.499412,0.00536408
22_noise_diminuendo,23981.1,166.286,13858.1,71.3965,40787,203.52,-0.00356544,0.0840573,0.148862,0.0399503,0.844768,0.00354379,3.39389,0.231152,0.00159741,0.0169215,-1.19994,0.0134443,0.949011,0.00103673,-6.50979,0.428064,146.888,10.9582,0.0122111,0.000303466,2.56865,1.47912,2287.43,39.8664,0.499108,0.00527189
23_noise_crescdim,24021.4,173.58,13853.1,73.0977,40801.4,204.055,0.0106358,0.0858552,0.150571,0.0423075,0.845463,0.00375198,3.34291,0.238263,-0.00208707,0.0182126,-1.19832,0.0135581,0.949165,0.00108457,-6.5601,0.482497,145.336,12.5958,0.0121516,0.000321361,2.59925,1.46235,2280.66,42.8665,0.500735,0.00552951
